threshold,precision,recall,f1,accuracy
0.0,0.55,1.0,0.71,0.55
0.05,0.67,1.0,0.8,0.72
0.1,0.75,0.99,0.85,0.81
0.15,0.79,0.98,0.87,0.84
0.2,0.81,0.98,0.89,0.86
0.25,0.82,0.96,0.89,0.86
0.3,0.86,0.92,0.89,0.88
0.35,0.89,0.9,0.9,0.89
0.4,0.91,0.87,0.89,0.88
0.45,0.92,0.86,0.89,0.88
0.5,0.92,0.83,0.88,0.87
0.55,0.92,0.82,0.87,0.86
0.6,0.93,0.75,0.83,0.83
0.65,0.93,0.74,0.82,0.82
0.7,0.92,0.66,0.77,0.78
0.75,0.93,0.62,0.74,0.76
0.8,0.94,0.6,0.73,0.76
0.85,0.95,0.53,0.68,0.72
0.9,0.97,0.34,0.51,0.63
0.95,1.0,0.14,0.24,0.52
1.0,1.0,0.03,0.06,0.46
