threshold,precision,recall,f1,accuracy
0.0,0.55,1.0,0.71,0.55
0.05,0.55,1.0,0.71,0.55
0.1,0.55,1.0,0.71,0.55
0.15,0.55,1.0,0.71,0.55
0.2,0.55,1.0,0.71,0.55
0.25,0.55,1.0,0.71,0.55
0.3,0.55,1.0,0.71,0.55
0.35,0.55,1.0,0.71,0.55
0.4,0.55,1.0,0.71,0.55
0.45,0.6,1.0,0.75,0.63
0.5,0.87,0.83,0.85,0.84
0.55,1.0,0.15,0.26,0.53
0.6,0.0,0.0,0.0,0.45
0.65,0.0,0.0,0.0,0.45
0.7,0.0,0.0,0.0,0.45
0.75,0.0,0.0,0.0,0.45
0.8,0.0,0.0,0.0,0.45
0.85,0.0,0.0,0.0,0.45
0.9,0.0,0.0,0.0,0.45
0.95,0.0,0.0,0.0,0.45
1.0,0.0,0.0,0.0,0.45
