threshold,precision,recall,f1,accuracy
0.0,0.55,1.0,0.71,0.55
0.05,0.72,1.0,0.84,0.79
0.1,0.76,0.98,0.86,0.82
0.15,0.8,0.98,0.88,0.85
0.2,0.81,0.98,0.89,0.86
0.25,0.85,0.97,0.91,0.89
0.3,0.88,0.92,0.9,0.89
0.35,0.9,0.88,0.89,0.88
0.4,0.91,0.87,0.89,0.88
0.45,0.92,0.86,0.89,0.88
0.5,0.92,0.85,0.88,0.88
0.55,0.92,0.82,0.87,0.86
0.6,0.93,0.77,0.84,0.84
0.65,0.93,0.76,0.84,0.84
0.7,0.93,0.7,0.8,0.8
0.75,0.94,0.65,0.77,0.78
0.8,0.94,0.61,0.74,0.76
0.85,0.95,0.57,0.71,0.74
0.9,0.98,0.39,0.56,0.66
0.95,1.0,0.21,0.34,0.56
1.0,1.0,0.06,0.11,0.48
