threshold,precision,recall,f1,accuracy
0.0,0.55,1.0,0.71,0.55
0.05,0.73,0.99,0.84,0.79
0.1,0.82,0.98,0.89,0.87
0.15,0.84,0.96,0.9,0.88
0.2,0.85,0.94,0.89,0.88
0.25,0.87,0.92,0.9,0.88
0.3,0.88,0.89,0.89,0.88
0.35,0.91,0.85,0.88,0.87
0.4,0.91,0.8,0.85,0.85
0.45,0.92,0.76,0.83,0.83
0.5,0.92,0.73,0.81,0.82
0.55,0.94,0.72,0.81,0.82
0.6,0.96,0.68,0.79,0.8
0.65,0.97,0.67,0.79,0.8
0.7,0.97,0.61,0.75,0.77
0.75,0.97,0.6,0.74,0.77
0.8,0.96,0.54,0.69,0.73
0.85,0.98,0.44,0.61,0.68
0.9,0.97,0.33,0.5,0.62
0.95,1.0,0.16,0.27,0.53
1.0,0.0,0.0,0.0,0.45
