threshold,precision,recall,f1,accuracy
0.0,0.55,1.0,0.71,0.55
0.05,0.68,0.99,0.8,0.73
0.1,0.75,0.99,0.86,0.82
0.15,0.81,0.99,0.89,0.86
0.2,0.85,0.99,0.91,0.9
0.25,0.86,0.96,0.91,0.89
0.3,0.88,0.93,0.9,0.89
0.35,0.9,0.9,0.9,0.89
0.4,0.9,0.88,0.89,0.88
0.45,0.9,0.86,0.88,0.87
0.5,0.9,0.82,0.86,0.85
0.55,0.92,0.77,0.84,0.84
0.6,0.94,0.75,0.83,0.83
0.65,0.94,0.71,0.8,0.81
0.7,0.96,0.69,0.8,0.81
0.75,0.97,0.67,0.79,0.8
0.8,0.97,0.64,0.77,0.79
0.85,0.96,0.5,0.66,0.71
0.9,0.98,0.45,0.62,0.69
0.95,0.97,0.28,0.44,0.6
1.0,0.0,0.0,0.0,0.45
